Date,PIB,PIB2,PIB3
1996-01-01,99.5,99.5,99.5
1996-04-01,100.4,100.4,100.4
1996-07-01,104.4,104.4,104.4
1996-10-01,103.3,103.3,103.3
1997-01-01,104.3,104.3,104.3
1997-04-01,105,105,105
1997-07-01,106.3,106.3,106.3
1997-10-01,107.1,107.1,107.1
1998-01-01,105.1,105.1,105.1
1998-04-01,106.8,106.8,106.8
1998-07-01,106.9,106.9,106.9
1998-10-01,105.6,105.6,105.6
1999-01-01,105.9,105.9,105.9
1999-04-01,106.2,106.2,106.2
1999-07-01,106.4,106.4,106.4
1999-10-01,107.8,107.8,107.8
2000-01-01,109,109,109
2000-04-01,110.5,110.5,110.5
2000-07-01,111.8,111.8,111.8
2000-10-01,113.2,113.2,113.2
2001-01-01,113.6,113.6,113.6
2001-04-01,113.1,113.1,113.1
2001-07-01,112.5,112.5,112.5
2001-10-01,112.2,112.2,112.2
2002-01-01,114.7,114.7,114.7
2002-04-01,115.4,115.4,115.4
2002-07-01,116.8,116.8,116.8
2002-10-01,118,118,118
2003-01-01,117.5,117.5,117.5
2003-04-01,116.5,116.5,116.5
2003-07-01,117.6,117.6,117.6
2003-10-01,118.8,118.8,118.8
2004-01-01,120.5,120.5,120.5
2004-04-01,123.8,123.8,123.8
2004-07-01,125.3,125.3,125.3
2004-10-01,126.3,126.3,126.3
2005-01-01,127.2,127.2,127.2
2005-04-01,129,129,129
2005-07-01,128,128,128
2005-10-01,129.6,129.6,129.6
2006-01-01,131.8,131.8,131.8
2006-04-01,132.1,132.1,132.1
2006-07-01,134.3,134.3,134.3
2006-10-01,135.9,135.9,135.9
2007-01-01,138.6,138.6,138.6
2007-04-01,140.8,140.8,140.8
2007-07-01,142.2,142.2,142.2
2007-10-01,144.4,144.4,144.4
2008-01-01,146.1,146.1,146.1
2008-04-01,149.4,149.4,149.4
2008-07-01,151.6,151.6,151.6
2008-10-01,145.9,145.9,145.9
2009-01-01,143.9,143.9,143.9
2009-04-01,146.5,146.5,146.5
2009-07-01,149.9,149.9,149.9
2009-10-01,153.7,153.7,153.7
2010-01-01,157.2,157.2,157.2
2010-04-01,158.7,158.7,158.7
2010-07-01,160.4,160.4,160.4
2010-10-01,162.5,162.5,162.5
2011-01-01,164.9,164.9,164.9
2011-04-01,166.5,166.5,166.5
2011-07-01,166.1,166.1,166.1
2011-10-01,167.5,167.5,167.5
2012-01-01,165.3,165.3,165.3
2012-04-01,168.2,168.2,168.2
2012-07-01,171.1,171.1,171.1
2012-10-01,171.1,171.1,171.1
2013-01-01,171.8,171.8,171.8
2013-04-01,174.7,174.7,174.7
2013-07-01,175.3,175.3,175.3
2013-10-01,175.5,175.5,175.5
2014-01-01,177.1,177.1,177.1
2014-04-01,174.4,174.4,174.4
2014-07-01,174.4,174.4,174.4
2014-10-01,175.2,175.2,175.2
2015-01-01,174.1,174.1,174.1
2015-04-01,169.5,169.5,169.5
2015-07-01,167,167,167
2015-10-01,165.7,165.7,165.7
2016-01-01,163,163,163
2016-04-01,164,164,164
2016-07-01,162.9,162.9,162.9
2016-10-01,162.6,162.6,162.6
2017-01-01,164.4,164.4,164.4
2017-04-01,165.7,165.7,165.7
2017-07-01,166.2,166.2,166.2
2017-10-01,166.9,166.9,166.9
2018-01-01,167.8,167.8,167.8
2018-04-01,168.1,168.1,168.1
2018-07-01,169.5,169.5,169.5
2018-10-01,168.9,168.9,168.9
2019-01-01,169.8,169.8,169.8
2019-04-01,170.7,170.7,170.7
2019-07-01,170.7,170.7,170.7
2019-10-01,171.3,171.3,171.3
2020-01-01,167.4,167.4,167.4
2020-04-01,152.6,152.6,152.6
2020-07-01,164.4,164.4,164.4
2020-10-01,169.5,169.5,169.5
2021-01-01,171.8,171.8,171.8
2021-04-01,171.2,171.2,171.2
2021-07-01,171.1,171.1,171.1
2021-10-01,1e-37,171.916,171.2317573
2022-01-01,1e-37,172.7755801,171.402989
2022-04-01,1e-37,173.639458,171.574392
2022-07-01,1e-37,174.5076552,171.7459664
2022-10-01,1e-37,175.3801935,171.9177124
